line_cd,def_line_cd,line_symbol,def_line_name,note
11229,,,JR常磐線(取手～いわき),JR常磐線(取手～いわき)
11301,,JT,JR東海道線,JR東海道線
11302,,JY,,JR山手線
11303,,JN,,JR南武線
11304,,JI,,JR鶴見線
11305,,JM,,JR武蔵野線
11306,,JH,,JR横浜線
11307,,JK,,JR根岸線
11308,,JO,,JR横須賀線
11309,,,,JR相模線
11311,,CH,JR中央本線(東京～塩尻),JR中央本線(東京～塩尻)
11312,,JC,JR中央線快速,JR中央線快速
11313,,JB,JR中央・総武線各駅停車,JR中央・総武線各駅停車
11314,,JO,JR総武本線,JR総武本線
11314,91131401,JO,JR総武快速線,JR総武快速線
11314,91131402,JO,JR総武本線,JR総武本線
11315,,JC,JR青梅線,JR青梅線
11316,,JC,JR五日市線,JR五日市線
11317,,,JR八高線(八王子～高麗川),JR八高線(八王子～高麗川)
11318,,,JR八高線(高麗川～高崎),JR八高線(高麗川～高崎)
11319,,JU,JR宇都宮線,JR宇都宮線
11320,,,JR常磐線(上野～取手),JR常磐線(上野～取手)
11320,91132001,JJ,JR常磐線快速,JR常磐線快速
11320,91132002,JL,JR常磐線各駅停車,JR常磐線各駅停車
11321,,JA,,JR埼京線
11322,,,,JR川越線
11323,,JU,,JR高崎線
11324,,,,JR外房線
11325,,,,JR内房線
11326,,JE,,JR京葉線
11327,,JO,,JR成田線
11329,,,,JR鹿島線
11330,,,,JR久留里線
11331,,,,JR東金線
11332,,JK,JR京浜東北線,JR京浜東北線
11333,,JS,JR湘南新宿ライン,JR湘南新宿ライン
11343,,JT/JU/JJ,JR上野東京ライン,JR上野東京ライン
11334,,,,JR烏山線
11335,,,,JR吾妻線
11337,,,,JR信越本線
11338,,,,JR水郡線
11339,,,,JR水戸線
11340,,,,JR日光線
11341,,,,JR両毛線
11342,,,,JR上越線
21001,,TJ,,東武東上線
21002,,TI,東武伊勢崎線,東武伊勢崎線
21002,92100201,TS,東武スカイツリーライン,東武スカイツリーライン
21002,92100202,TI,東武伊勢崎線,東武伊勢崎線
21003,,TN,,東武日光線
21004,,TD,東武アーバンパークライン（野田線）,東武アーバンパークライン（野田線）
21005,,TS,,東武亀戸線
21006,,TS,,東武大師線
21007,,TJ,,東武越生線
21008,,TN,,東武宇都宮線
21009,,TN,,東武鬼怒川線
21010,,TI,,東武佐野線
21011,,TI,,東武桐生線
21012,,TI,,東武小泉線
22001,,SI,,西武池袋線
22002,,SI,,西武秩父線
22003,,SI,,西武有楽町線
22004,,SI,,西武豊島線
22005,,SI,,西武狭山線
22006,,SY,西武山口線（レオライナー）,西武山口線（レオライナー）
22007,,SS,,西武新宿線
22008,,SS,,西武拝島線
22009,,SK,,西武西武園線
22010,,SK,,西武国分寺線
22011,,ST,,西武多摩湖線
22012,,SW,,西武多摩川線
23001,,KS,,京成本線
23002,,KS,,京成押上線
23003,,KS,,京成金町線
23004,,KS,,京成千葉線
23005,,KS,,京成千原線
23006,,KS/HS,成田スカイアクセス線,成田スカイアクセス線
24001,,KO,,京王線
24002,,KO,,京王相模原線
24003,,KO,,京王高尾線
24004,,KO,,京王競馬場線
24005,,KO,,京王動物園線
24006,,KO,,京王井の頭線
24007,,KO,,京王新線
25001,,OH,,小田急小田原線
25002,,OE,,小田急江ノ島線
25003,,OT,,小田急多摩線
26001,,TY,,東急東横線
26002,,MG,,東急目黒線
26003,,DT,,東急田園都市線
26004,,OM,,東急大井町線
26005,,IK,,東急池上線
26006,,TM,,東急多摩川線
26007,,SG,,東急世田谷線
26008,,KD,,東急こどもの国線
27001,,KK,,京急本線
27002,,KK,,京急空港線
27003,,KK,,京急大師線
27004,,KK,,京急逗子線
27005,,KK,,京急久里浜線
28001,,G,,東京メトロ銀座線
28002,2800201,M,,東京メトロ丸ノ内線
28002,2800202,Mb,,東京メトロ丸ノ内線方南町支線
28003,,H,,東京メトロ日比谷線
28004,,T,,東京メトロ東西線
28005,,C,,東京メトロ千代田線
28006,,Y,,東京メトロ有楽町線
28008,,Z,,東京メトロ半蔵門線
28009,,N,,東京メトロ南北線
28010,,F,,東京メトロ副都心線
29001,,SO,,相鉄本線
29002,,SO,,相鉄いずみ野線
29003,,SO,相鉄・JR直通線,相鉄・JR直通線
99301,,E,都営地下鉄大江戸線,都営地下鉄大江戸線
99302,,A,都営地下鉄浅草線,都営地下鉄浅草線
99303,,I,都営地下鉄三田線,都営地下鉄三田線
99304,,S,都営地下鉄新宿線,都営地下鉄新宿線
99305,,SA,東京さくらトラム（都電荒川線）,東京さくらトラム（都電荒川線）
99342,,NT,日暮里・舎人ライナー,日暮里・舎人ライナー
99306,,,秩父鉄道線,秩父鉄道線
99307,,SR,埼玉高速鉄道埼玉スタジアム線,埼玉高速鉄道埼玉スタジアム線
99308,,,いすみ鉄道線,いすみ鉄道線
99309,,TX,つくばエクスプレス,つくばエクスプレス
99310,,MM,みなとみらい線,みなとみらい線
99311,,U,ゆりかもめ,ゆりかもめ
99312,,,わたらせ渓谷線,わたらせ渓谷線
99313,,,ユーカリが丘線,ユーカリが丘線
99314,,ID,伊豆箱根鉄道大雄山線,伊豆箱根鉄道大雄山線
99315,,,ひたちなか海浜鉄道湊線,ひたちなか海浜鉄道湊線
99316,,B,横浜市営地下鉄ブルーライン,横浜市営地下鉄ブルーライン
99343,,G,横浜市営地下鉄グリーンライン,横浜市営地下鉄グリーンライン
99317,,,金沢シーサイドライン,金沢シーサイドライン
99318,,,関東鉄道常総線,関東鉄道常総線
99319,,,関東鉄道竜ヶ崎線,関東鉄道竜ヶ崎線
99320,,EN,江ノ島電鉄線,江ノ島電鉄線
99321,,NS,ニューシャトル,ニューシャトル
99322,,,鹿島鉄道線,鹿島鉄道線
99323,,,鹿島臨海鉄道大洗鹿島線,鹿島臨海鉄道大洗鹿島線
99324,,SR,芝山鉄道線,芝山鉄道線
99325,,,小湊鉄道線,小湊鉄道線
99326,,SMR,湘南モノレール,湘南モノレール
99327,,,上信電鉄,上信電鉄
99328,,,上毛電気鉄道上毛線,上毛電気鉄道上毛線
99329,,SL,新京成電鉄新京成線,新京成電鉄新京成線
99330,,,真岡鐵道真岡線,真岡鐵道真岡線
99331,,CM,千葉都市モノレール１号線,千葉都市モノレール１号線
99332,,CM,千葉都市モノレール２号線,千葉都市モノレール２号線
99333,,RN,流鉄流山線,流鉄流山線
99334,,TT,多摩モノレール,多摩モノレール
99335,,CD,銚子電鉄線,銚子電鉄線
99336,,MO,東京モノレール,東京モノレール
99337,,R,東京臨海高速鉄道りんかい線,東京臨海高速鉄道りんかい線
99338,,TR,東葉高速線,東葉高速線
99339,,OH,箱根登山鉄道鉄道線,箱根登山鉄道鉄道線
99340,,HS,北総鉄道北総線,北総鉄道北総線
99501,,IZ,伊豆急行線,伊豆急行線
