line_cd,line_url_str,note
1001,chuoshinkansen,
1002,tokaidoshinkansen,
1003,sanyoshinkansen,
1004,tohokushinkansen,
1005,joetsushinkansen-1,
1006,joetsushinkansen-2,
1007,yamagatashinkansen,
1008,akitashinkansen,
1009,hokurikushinkansen,
1010,kyushushinkansen,
1011,hokkaidoshinkansen,
11101,hakodatehonsen-1,
11102,hakodatehonsen-2,
11103,hakodatehonsen-3,
11104,muroranhonsen-1,
11105,muroranhonsen-2,
11106,nemurohonsen-1,
11107,nemurohonsen-2,
11108,hanasakisen,
11109,chitosesen,
11110,sekishosen,
11111,hidakahonsen,
11112,sasshosen,
11113,rumoihonsen,
11114,furanosen,
11115,soyahonsen,
11116,sekihokuhonsen,
11117,semmohonsen,
11118,kaikyosen,
11119,esashisen,
11201,tohokuhonsen-1,
11202,ouhonsen,
11231,tohokuhonsen-2,
11203,hamanasubeirainominatosen,
11204,gonosen,
11205,tsugarusen,
11206,hachinohesen,
11207,iwaizumisen,
11208,doragonreruofunatosen,
11209,gingadorimurainkamaishisen,
11210,kitakamisen,
11211,tazawakosen,
11212,towadahachimantaishikisairain,
11213,yamadasen,
11214,uetsuhonsen,
11215,ogasen,
11216,yamagatasen,
11217,senzansen,
11218,furutsurainaterazawasen,
11219,yonesakasen,
11220,okunohosomichimogamigawarain,
11221,okunohosomichiyukemurirain,
11222,sensekisen,
11223,ishinomakisen,
11224,kesennumasen,
11225,banetsusaisen,
11226,moritomizutoromannotetsudo,
11227,tadamisen,
11228,yuyuabukumarain,
11229,jobansen-1,
11230,jobansen-2,
11301,tokaidohonsen-1,
11302,yamanotesen,
11303,nambusen,
11304,tsurumisen,
11305,musashinosen,
11306,yokohamasen,
11307,negishisen,
11308,yokosukasen,
11309,sagamisen,
11311,chuohonsen-1,
11312,chuosenrapid,
11313,chuosobusenlocal,
11314,sobusen,総武本線（元）
1131401,sobusenrapid,総武快速線
1131402,sobuhonsen,総武本線（新）
11315,omesen,
11316,itsukaichisen,
11317,hachikosen-1,
11318,hachikosen-2,
11319,utsunomiyasen,
11320,jobansen-3,常磐線（元）
1132001,jobansenrapid,常磐線快速
1132002,jobansenlocal,常磐線各駅停車
11321,saikyosen,
11322,kawagoesen,
11323,takasakisen,
11324,sotobosen,
11325,uchibosen,
11326,keiyosen,
11327,naritasen,
11328,naritaekusupuresu,
11329,kashimasen,
11330,kururisen,
11331,toganesen,
11332,keihintohokusen,
11333,shonanshinjukurain,
11343,uenotokyorain,
11334,karasuyamasen,
11335,azumasen,
11337,shinetsuhonsen-1,
11338,suigunsen,
11339,mitosen,
11340,nikkosen,
11341,ryomosen,
11342,joetsusen,
11401,yatsugadakekogensen,
11402,minobusen,
11403,shinetsuhonsen-2,
11404,shinetsuhonsen-3,
11405,hokurikuhonsen-1,
11406,hakushinsen,
11407,iiyamasen,
11408,echigosen,
11409,kitaarupususen,
11410,yahikosen,
11411,chuohonsen-2,
11412,shinonoisen,
11413,iidasen-1,
11414,iidasen-2,
11415,hokurikuhonsen-2,
11416,takayamahonsen,
11417,johanasen,
11418,himisen,
11419,nanaosen,
11420,tsurugakosen,
11421,kuzuryusen,
11422,obamasen,
11501,tokaidohonsen-2,
11502,tokaidohonsen-3,
11503,tokaidohonsen-4,
11504,itosen,
11505,gotembasen,
11506,taketoyosen,
11507,taitasen,
11508,kansaihonsen-1,
11509,kansaihonsen-2,
11510,kiseihonsen-1,
11511,kusatsusen,
11512,sangusen,
11513,meishosen,
11601,biwakosen,
11602,kyotosen,
11603,kobesen-1,
11605,koseisen,
11607,yamatojisen,
11608,kobesen-2,
11609,sanyohonsen-1,
11610,sanyohonsen-2,
11611,sanyohonsen-3,
11612,sanyohonsen-4,
11613,sanyohonsen-5,
11614,saganosen,
11615,saninhonsen-1,
11616,saninhonsen-2,
11617,gakkentoshisen,
11618,narasen,
11622,maizurusen,
11623,osakakanjosen,
11624,yumesakisen,
11625,tozaisen-1,
11626,hanwasen,
11627,hagoromosen,
11628,kansaikukosen,
11629,takarazukasen,
11630,fukuchiyamasen,
11631,akosen,
11632,kakogawasen,
11633,kishinsen-1,
11634,kishinsen-2,
11635,bantansen,
11636,wakayamasen,
11637,manyomahorobasen,
11639,kinokunisen,
11640,kiseihonsen-2,
11641,osakahigashisen,
11701,saninhonsen-3,
11702,saninhonsen-4,
11703,hakubisen,
11704,imbisen,
11705,sakaisen,
11706,kisukisen,
11707,sankosen,
11708,yamaguchisen,
11709,unosen,
11710,setoohashisen,
11713,kibisen,
11714,geibisen,
11715,tsuyamasen,
