chain_id,chain_name,api_search_word,res_judge_regexp,note
1,スターバックス,スターバックス,スターバックス,
2,タリーズコーヒー,タリーズコーヒー,タリーズコーヒー,
3,ドトールコーヒー,ドトールコーヒー,^(?=.*ドトールコーヒー)(?!.*株).*$,株がついているものは除外ver
4,サンマルクカフェ,サンマルクカフェ,サンマルクカフェ,
5,ベローチェ,ベローチェ,ベローチェ,
6,コメダ珈琲店,コメダ珈琲店,コメダ珈琲店,
7,エクセルシオール,エクセルシオール,エクセルシオール,
8,カフェ・ド・クリエ,カフェ・ド・クリエ,カフェ・ド・クリエ,
9,ベックスコーヒー,ベックスコーヒー,ベックスコーヒー,
10,上島珈琲店,上島珈琲店,上島珈琲店,
11,星乃珈琲店,星乃珈琲店,星乃珈琲店,
12,プロント,プロント,(プロント|PRONTO|pronto|Pronto),
13,珈琲館,珈琲館,珈琲館,
14,猿田彦珈琲,猿田彦珈琲,猿田彦珈琲,
15,ブルーボトルコーヒー,ブルーボトルコーヒー,ブルーボトルコーヒー,
16,喫茶室ルノアール,喫茶室ルノアール,喫茶室ルノアール,
17,椿屋珈琲店,椿屋珈琲店,椿屋珈琲店,
