UUID,JOBDIR,JOBNAME,JOBDESC,SHLPATH
963121e4-1ec7-4bb3-b82c-26fe0283271e,batch/unit/create_contents,truncate_mst_defined_companyinfo,定義事業者情報テーブルデータ全削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/truncate_mst_defined_companyinfo.sh
b6c72de9-192f-4657-983b-d4fc5efdf920,batch/unit/create_contents,import_mst_defined_companyinfo,定義事業者情報テーブル読込,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/import_mst_defined_companyinfo.sh
73c713b6-a2d7-494e-a293-1b32898e7f5b,batch/unit/create_contents,truncate_merge_defined_companyinfo,定義事業者情報併合テーブルデータ全削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/truncate_merge_defined_companyinfo.sh
0eb87b66-248d-4262-b44d-dd731576de22,batch/unit/create_contents,merge_defined_companyinfo,定義事業者情報併合,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/merge_defined_companyinfo.sh
863c5257-21e5-4e38-9a95-59ca9303d019,batch/unit/create_contents,truncate_mst_company_url,事業者URL情報テーブルデータ全削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/truncate_mst_company_url.sh
2099ee51-0e46-4772-b060-731cd417cf2a,batch/unit/create_contents,import_mst_company_url,事業者URL情報テーブル読込,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/import_mst_company_url.sh
4fd49bca-4efc-4153-8a85-6601478a2cef,batch/unit/create_contents,truncate_merge_company_url,事業者URL情報併合テーブルデータ全削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/truncate_merge_company_url.sh
97335014-0194-40f4-9dae-b1f501eb1ee3,batch/unit/create_contents,merge_company_url,事業者URL情報併合,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/merge_company_url.sh
6fc358a6-c9c8-4db4-b7b0-91d0b1aec953,batch/unit/create_contents,truncate_mst_defined_lineinfo,定義路線情報テーブルデータ全削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/truncate_mst_defined_lineinfo.sh
7d310211-1b0a-466d-8865-c2453c843e0a,batch/unit/create_contents,import_mst_defined_lineinfo,定義路線情報テーブル読込,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/import_mst_defined_lineinfo.sh
b26b7f9b-04e3-4f4b-9ad4-af20825417c0,batch/unit/create_contents,truncate_merge_defined_lineinfo,定義路線情報併合テーブルデータ全削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/truncate_merge_defined_lineinfo.sh
34f0985a-0006-4f43-92ec-77cca3b715c3,batch/unit/create_contents,merge_defined_lineinfo,定義路線情報併合,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/merge_defined_lineinfo.sh
13641929-d21a-45c1-9b89-53e126aaf464,batch/unit/create_contents,truncate_mst_linecolor,ラインカラーテーブルデータ全削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/truncate_mst_linecolor.sh
f36b3dfb-fa22-4f01-be44-26d76b8ea65e,batch/unit/create_contents,import_mst_linecolor,ラインカラーテーブル読込,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/import_mst_linecolor.sh
